run_seed,model,split,case_type,sequence_id,n_metric_steps,n_events,n_nonevents,n_drift_steps,n_revision_steps,mse,mae,final_mse,final_mae,event_mse,event_mae,nonevent_mse,nonevent_mae,drift_nonevent,drift_post_best,revision_gain,event_abs_err_lag_m2,best_abs_err_lag_m2,event_abs_err_lag_m1,best_abs_err_lag_m1,event_abs_err_lag_0,best_abs_err_lag_0,event_abs_err_lag_1,best_abs_err_lag_1,event_abs_err_lag_2,best_abs_err_lag_2,event_abs_err_lag_3,best_abs_err_lag_3,event_abs_err_lag_4,best_abs_err_lag_4,event_abs_err_lag_6,best_abs_err_lag_6,event_abs_err_lag_8,best_abs_err_lag_8,event_abs_err_lag_12,best_abs_err_lag_12,event_abs_err_lag_16,best_abs_err_lag_16,alpha_event,alpha_nonevent,alpha_contrast,event_alpha_lag_m2,best_alpha_lag_m2,event_alpha_lag_m1,best_alpha_lag_m1,event_alpha_lag_0,best_alpha_lag_0,event_alpha_lag_1,best_alpha_lag_1,event_alpha_lag_2,best_alpha_lag_2,event_alpha_lag_3,best_alpha_lag_3,event_alpha_lag_4,best_alpha_lag_4,event_alpha_lag_6,best_alpha_lag_6,event_alpha_lag_8,best_alpha_lag_8,event_alpha_lag_12,best_alpha_lag_12,event_alpha_lag_16,best_alpha_lag_16
1710807515,qslstm,extrapolation,iid,2000000,62,1,61,60,1,0.06550197218969021,0.2244072698297039,0.03267819509352421,0.1807711124420166,0.011556535519932964,0.1075013279914856,0.0663863236105059,0.22632376067951077,0.01744498113791148,0.012491694518498011,0.007843255996704102,0.5089195482432842,0.5089195482432842,0.5127126090228558,0.5127126090228558,0.1075013279914856,0.1075013279914856,0.15336257219314575,0.15336257219314575,0.1343698501586914,0.1343698501586914,0.1384333372116089,0.1384333372116089,0.1709575057029724,0.1709575057029724,0.14008361101150513,0.14008361101150513,0.18058452010154724,0.18058452010154724,0.17476707696914673,0.17476707696914673,0.21350514888763428,0.21350514888763428,0.10503897815942764,0.10139597909616642,0.0036429990632612236,0.09202391654253006,0.09202391654253006,0.0962950587272644,0.0962950587272644,0.10503897815942764,0.10503897815942764,0.12240452319383621,0.12240452319383621,0.05672484263777733,0.05672484263777733,0.10169687122106552,0.10169687122106552,0.09633496403694153,0.09633496403694153,0.04661322757601738,0.04661322757601738,0.10150926560163498,0.10150926560163498,0.10304848104715347,0.10304848104715347,0.12625445425510406,0.12625445425510406
1710807515,qslstm,extrapolation,iid,2000001,62,4,58,58,3,0.06197074951375315,0.23237711864133034,0.06996912205545769,0.26451677083969116,0.04695628521097728,0.20119701325893402,0.06300622981049632,0.23452747073666802,0.016382377723167682,0.009459630531423232,0.01912921667098999,0.1227763295173645,0.1629718542098999,0.13533484935760498,0.1555359959602356,0.20119701325893402,0.3290574550628662,0.22956767678260803,0.3124375343322754,0.24884356558322906,0.3318653106689453,0.21730895340442657,0.3317357897758484,0.20776264369487762,0.3285343050956726,0.19831876456737518,0.35137903690338135,0.17737819254398346,0.306990385055542,0.19283898174762726,0.3199418783187866,0.21958108246326447,0.31397032737731934,0.12977380864322186,0.10207365276613112,0.027700155877090737,0.062312958762049675,0.050640422850847244,0.14913049588600794,0.10405808687210083,0.12977380864322186,0.04046209156513214,0.15150513127446175,0.12588337063789368,0.14335408434271812,0.09341184049844742,0.10541501548141241,0.06787741184234619,0.11622479930520058,0.09936866164207458,0.10817028069868684,0.03035152144730091,0.12196413427591324,0.10750816017389297,0.08567668311297894,0.08295434713363647,0.12285690195858479,0.13581562042236328
1710807515,qslstm,extrapolation,iid,2000002,62,3,59,58,3,0.16743035029054115,0.4029119086842383,0.17722125513376685,0.42097654938697815,0.09846232598427195,0.2762955700357755,0.17093719898408033,0.4093500275985669,0.017621723228487474,0.015182049206967623,0.034173031648000084,0.2529893492658933,0.48579078167676926,0.24355163921912512,0.417324922978878,0.2762955700357755,0.37237948179244995,0.3190782641371091,0.37481993436813354,0.4300251354773839,0.41397997736930847,0.4318353782097499,0.4087749719619751,0.42199160406986874,0.40780454874038696,0.3980107406775157,0.4076727628707886,0.41071276863416034,0.41035377979278564,0.41751102606455487,0.43450653553009033,0.433470755815506,0.4384880065917969,0.21016612152258554,0.10054322180606551,0.10962289971652003,0.22607341160376868,0.10646047443151474,0.16045144945383072,0.10317233949899673,0.21016612152258554,0.15398262441158295,0.12866932402054468,0.09476474672555923,0.12284593532482783,0.07280999422073364,0.12447671840588252,0.12733355164527893,0.13746382544438043,0.15194837749004364,0.12328262627124786,0.143055260181427,0.12254893779754639,0.14288844168186188,0.12605966875950494,0.09223530441522598,0.08923612534999847,0.08168981224298477
1710807515,qslstm,extrapolation,iid,2000003,62,5,57,56,5,0.16051015319958065,0.3817483917359383,0.27820076238001334,0.5274474024772644,0.14006576811837235,0.3524062991142273,0.16230352031196738,0.3843222595097726,0.01629334262439183,0.009036878744761149,0.04354802370071411,0.31003122329711913,0.43867963552474976,0.32023829221725464,0.4465004801750183,0.3524062991142273,0.513261616230011,0.36849069595336914,0.5067669749259949,0.37705898880958555,0.5150949954986572,0.3515146613121033,0.5135649740695953,0.3522497177124023,0.5322874784469604,0.3607179284095764,0.5309404134750366,0.439513635635376,0.5283068418502808,0.391585111618042,,0.4204197824001312,,0.07157558165490627,0.09041027090789978,-0.018834689252993517,0.11271700821816921,0.028359541669487953,0.08427593186497688,0.03217170760035515,0.07157558165490627,0.024798111990094185,0.11922843977808953,0.03338296338915825,0.11408834382891656,0.058074090629816055,0.07621573358774185,0.03844113275408745,0.09561274945735931,0.094669871032238,0.08693564273416995,0.05244879052042961,0.06875291541218757,0.06583739072084427,0.08790311776101589,,0.06228902004659176,
1710807515,qslstm,extrapolation,iid,2000004,62,1,61,61,0,0.0012582746835084506,0.028793178739086274,0.00014864222249855175,0.01219189167022705,0.010708408783806966,0.10348144173622131,0.001103354452356016,0.02756878098503488,0.019467219466068705,0.019467219466068705,,,,,,0.10348144173622131,0.10348144173622131,0.04846346378326416,0.04846346378326416,0.03247666358947754,0.03247666358947754,0.015465915203094482,0.015465915203094482,0.056349337100982666,0.056349337100982666,0.05841207504272461,0.05841207504272461,0.04048776626586914,0.04048776626586914,0.06035435199737549,0.06035435199737549,0.007117927074432373,0.007117927074432373,0.3311593234539032,0.08083389833813807,0.2503254251157651,,,,,0.3311593234539032,0.3311593234539032,0.23207895457744598,0.23207895457744598,0.1756993979215622,0.1756993979215622,0.20444418489933014,0.20444418489933014,0.16256098449230194,0.16256098449230194,0.09691638499498367,0.09691638499498367,0.08424431085586548,0.08424431085586548,0.13832807540893555,0.13832807540893555,0.08322363346815109,0.08322363346815109
1710807515,qslstm,extrapolation,iid,2000005,62,2,60,59,2,0.024330390312880402,0.09789955615997314,0.1825311647715575,0.4272366613149643,0.08101116401143049,0.24257879704236984,0.0224410311895954,0.09307691479722659,0.020430943976014346,0.012112081050872803,0.022728800773620605,0.061761677265167236,0.10125881433486938,0.06773626804351807,0.10443651676177979,0.24257879704236984,0.39146362245082855,0.2618141695857048,0.40659503638744354,0.25462742894887924,0.4102172702550888,0.2574024721980095,0.4199194759130478,0.2588455304503441,0.4251427501440048,0.25703122466802597,0.4272366613149643,0.10125881433486938,,0.4102172702550888,,0.4272366613149643,,0.08458340167999268,0.10396901334946354,-0.019385611669470865,0.1141468845307827,0.13820046186447144,0.07923122122883797,0.08444544672966003,0.08458340167999268,0.09801984578371048,0.07677554897964001,0.11268478631973267,0.08745341002941132,0.08749198168516159,0.03609365317970514,0.031245609745383263,0.07463907450437546,0.07133274525403976,0.07224283926188946,0.03686657175421715,0.13820046186447144,,0.08749198168516159,,0.03686657175421715,
1710807515,qslstm,extrapolation,iid,2000006,62,3,59,59,2,0.060212385391373184,0.23016002341624228,0.1629330223156309,0.40364962816238403,0.06899446392273283,0.22831381360689798,0.059765839025371845,0.23025389849129368,0.02443811903565617,0.02401577101813422,0.012738555669784546,0.18238526582717896,0.2362251877784729,0.18342527747154236,0.23669040203094482,0.22831381360689798,0.396324098110199,0.23103753725687662,0.40063685178756714,0.25113461414972943,0.39896160364151,0.26149751742680866,0.38173478841781616,0.27600274483362836,0.41780591011047363,0.24744645754496256,0.3987886309623718,0.26975788672765094,0.4256139397621155,0.16030079126358032,,0.1718611717224121,,0.239512100815773,0.09667032319357839,0.14284177762219463,0.06690739467740059,0.06316016614437103,0.10101391933858395,0.06088754162192345,0.239512100815773,0.0900723934173584,0.14292112365365028,0.08345208317041397,0.15057322258750597,0.07755845040082932,0.12759853526949883,0.054588403552770615,0.09206953768928845,0.12485140562057495,0.0931151770055294,0.11330247670412064,0.08795443425575893,0.07514095306396484,0.09497625939548016,,0.061634039506316185,
1710807515,qslstm,extrapolation,iid,2000007,62,3,59,59,2,0.038257440555590064,0.1597401725669061,0.07089132363811146,0.2662542462348938,0.029565959351454413,0.1332926551500956,0.038699380277834254,0.16108496158809985,0.013608954215453843,0.008036008168911112,0.007396712899208069,0.07718509435653687,0.07037338614463806,0.0864831954240799,0.09882307052612305,0.1332926551500956,0.26901867985725403,0.13429759939511618,0.252999484539032,0.14426182707150778,0.27084219455718994,0.13131491343180338,0.2632545828819275,0.11616567770640056,0.26762184500694275,0.12916802366574606,0.279355525970459,0.18968602021535239,0.2641749083995819,0.19816338022549948,0.27746474742889404,0.19843636949857077,0.2784229516983032,0.10990013927221298,0.10924785287450936,0.000652286397703622,0.1340368390083313,0.12904700636863708,0.09786968491971493,0.04383036121726036,0.10990013927221298,0.03313562646508217,0.08104827875892322,0.0598413310945034,0.09726076200604439,0.10097309947013855,0.11241438239812851,0.07060091942548752,0.10974420607089996,0.11733414977788925,0.11179875209927559,0.13345755636692047,0.09982690090934436,0.08025160431861877,0.11490841209888458,0.15959511697292328,0.10737502699096997,0.11890459805727005
1710807515,qslstm,extrapolation,iid,2000008,62,3,59,58,3,0.06661085734421245,0.24475526833726513,0.0995420215391063,0.3155028074979782,0.025955532236895246,0.14374172190825144,0.06867807726492349,0.2498915503590794,0.017248675227165222,0.014622548967599869,0.04303435484568278,0.10622331500053406,0.08920523524284363,0.09270234902699788,0.08074161410331726,0.14374172190825144,0.22854043543338776,0.2031739503145218,0.2705938071012497,0.22975176076094309,0.2929058223962784,0.2437851776679357,0.31017695367336273,0.2380653371413549,0.27297310531139374,0.2406681925058365,0.31652526557445526,0.192387526233991,0.2874850481748581,0.17040573060512543,0.2898787707090378,0.167122945189476,0.3187991827726364,0.23738634089628854,0.10760106247360424,0.1297852784226843,0.21483377615610758,0.07925811409950256,0.22742814819018045,0.1386599838733673,0.23738634089628854,0.13965021073818207,0.1889943207303683,0.09498033672571182,0.16524302462736765,0.13987617194652557,0.11412455017367999,0.04695252701640129,0.11691507697105408,0.0819227397441864,0.11644729847709338,0.04398065432906151,0.11605052401622136,0.07104400545358658,0.10365608582894008,0.10461539775133133,0.08585189282894135,0.1088661178946495
1710807515,qslstm,extrapolation,iid,2000009,62,5,57,57,4,0.061979697621567714,0.24388465669847303,0.08008666789894292,0.28299587965011597,0.041304547540816826,0.1980525493621826,0.06379330727777394,0.2479050169911301,0.021712823917991238,0.027312192049893467,0.029461532831192017,0.23941884438196817,0.22222697734832764,0.23222856223583221,0.23388606309890747,0.1980525493621826,0.27842003107070923,0.21393345594406127,0.29122215509414673,0.20664489269256592,0.2749248743057251,0.21070241928100586,0.3234681487083435,0.21704102754592897,0.27908438444137573,0.24813464879989625,0.31801873445510864,0.26646467447280886,0.32379263639450073,0.27275456488132477,,0.25937487185001373,,0.19125477522611617,0.10183081357625492,0.08942396164986124,0.06876976788043976,0.10455288738012314,0.13923346530646086,0.04265477880835533,0.19125477522611617,0.08481777459383011,0.156160107254982,0.08061021566390991,0.13946492820978165,0.0742226168513298,0.1362917646765709,0.09503787755966187,0.13092179596424103,0.047748863697052,0.10639930292963981,0.043451737612485886,0.11236360147595406,0.09859931468963623,0.08263827580958605,,0.07553871162235737,
