epoch,train_loss,val_mse,val_loss_mask_mse,grad_norm_mean,grad_norm_max,clipped_batches,n_batches,clip_fraction,epoch_seconds,is_best
1,0.09555437414986746,0.08019127604166666,0.08027373381583922,0.1452885631302541,0.7948516607284546,0,55,0.0,1242.2486357919406,True
2,0.08189844903775624,0.07779449971516927,0.07780370503087197,0.04883831490508535,0.16862742602825165,0,55,0.0,1287.7877025830094,True
3,0.08008136499779565,0.07677677256266276,0.07675960811491936,0.051202106780626554,0.1284961700439453,0,55,0.0,1324.5020644160686,True
4,0.07867199787071773,0.07518029022216798,0.07506037213725428,0.04737604946236719,0.15994900465011597,0,55,0.0,1313.4954460000154,True
5,0.0774130202276366,0.07319096120198568,0.07288393771263861,0.05300080036236481,0.16745270788669586,0,55,0.0,1304.8990973749897,True
6,0.07684397515654563,0.07291804809570313,0.07251979064941406,0.07215682867575776,0.2000546157360077,0,55,0.0,1326.5778675419278,True
7,0.07635624569654464,0.07330296122233072,0.07288944416661416,0.06565568736669693,0.22649163007736206,0,55,0.0,1337.7922088329215,False
8,0.07611423909664154,0.07226285349527994,0.0716715068201865,0.05925498350777409,0.18858206272125244,0,55,0.0,1326.9077708330005,True
9,0.07547203589337213,0.07269768575032552,0.07188056109028478,0.05233147770843723,0.1592065542936325,0,55,0.0,1312.8107899170136,False
10,0.07530219967024666,0.0724906260172526,0.07161251191169984,0.04829504842107946,0.12514430284500122,0,55,0.0,1318.3523497080896,False
11,0.07516798669099808,0.0721298843383789,0.07129789536999118,0.05817848457531496,0.1598075032234192,0,55,0.0,1322.0770815829746,True
12,0.07506415333918162,0.07201148274739583,0.07115421861217867,0.058389122039079665,0.1517920047044754,0,55,0.0,1312.8014121659799,True
13,0.07479906031063625,0.07254941813151042,0.07149753939720892,0.0524621352722699,0.12464708089828491,0,55,0.0,1314.6342219590442,False
14,0.07488732299634389,0.07208491821289062,0.07116587091261341,0.05357580742036754,0.1484804004430771,0,55,0.0,1328.975546041038,False
15,0.07493540425811496,0.07304577840169271,0.07210455519153226,0.0628977030177008,0.1480422466993332,0,55,0.0,1329.42461287498,False
16,0.07467579300062997,0.07323566182454427,0.07231817085512222,0.04787485044110905,0.11918913573026657,0,55,0.0,1333.9468435409945,False
17,0.07477981075218745,0.0720903549194336,0.07095267806514617,0.05528805401514877,0.15132132172584534,0,55,0.0,1332.4640104999999,False
18,0.07483961021900178,0.07198537750244141,0.07086342399351059,0.0657192782244899,0.16893768310546875,0,55,0.0,1323.9149003329221,True
19,0.07473643562623433,0.07205379842122396,0.0709244355232485,0.06040969169275327,0.1374213993549347,0,55,0.0,1330.2842470830074,False
20,0.07455614579575402,0.07223249308268229,0.071129640148532,0.06362107142128727,0.1459433138370514,0,55,0.0,1332.107824375038,False
21,0.07481676581076213,0.07214517567952473,0.07103581287014869,0.07036930757828734,0.22217878699302673,0,55,0.0,1339.9467300840188,False
22,0.0743559280378478,0.07256964874267578,0.07159681652438256,0.057144808379763906,0.14976686239242554,0,55,0.0,1329.2920259169769,False
23,0.07442759422745024,0.071921560160319,0.07074467911258821,0.047611441581764,0.10333938896656036,0,55,0.0,1326.8167032080237,True
24,0.07446871738774435,0.07287512512207031,0.07184680471112652,0.06372545278546485,0.19913014769554138,0,55,0.0,1331.7468658750877,False
25,0.07412280306645802,0.07187390238444011,0.07074444186302924,0.0559715376150879,0.19554506242275238,0,55,0.0,1330.6650745000225,True
26,0.07410144043820245,0.07254201253255209,0.07125982124574723,0.05909827266904441,0.16353805363178253,0,55,0.0,1330.2521894578822,False
27,0.07462671330996921,0.07242464752197265,0.07134100095687373,0.07307486391880295,0.21839240193367004,0,55,0.0,1332.9154264160898,False
28,0.07420860063178199,0.07178106689453125,0.07058862452353201,0.07153576822443442,0.21575753390789032,0,55,0.0,1332.1730330830906,True
29,0.07406103829826627,0.07160817413330078,0.07043982425812752,0.06069189205088399,0.139066681265831,0,55,0.0,1332.4602745419834,True
30,0.07413555142709187,0.07222735595703125,0.0712308856594947,0.07103086604990742,0.17364785075187683,0,55,0.0,1329.9962478328962,False
31,0.07404696841750825,0.07218727518717448,0.07093230118290071,0.06854368383911523,0.17033624649047852,0,55,0.0,1333.7216533750761,False
32,0.0738306491460119,0.07228374430338541,0.07096132044638356,0.056219868226484816,0.13284170627593994,0,55,0.0,1328.8243710841052,False
33,0.0737134227497237,0.0717854014078776,0.07060476930679814,0.05760834604840387,0.15241722762584686,0,55,0.0,1325.0137182918843,False
34,0.07382607019799096,0.0731864995320638,0.07208054868636593,0.07132249406792901,0.2072952538728714,0,55,0.0,1337.923867792124,False
35,0.07388139812009675,0.07239491373697916,0.07125303748346144,0.06719371591779319,0.1805974543094635,0,55,0.0,1336.2148542499635,False
36,0.07381904108183725,0.07209727376302083,0.07080838258804814,0.0632910719988021,0.17166808247566223,0,55,0.0,1337.5100107078906,False
37,0.07342028789860862,0.07125432637532553,0.07002508741809475,0.0507542297244072,0.13748030364513397,0,55,0.0,1345.8179750831332,True
38,0.07329175106968198,0.07197434895833334,0.07081261468702747,0.05691810998726975,0.1403951197862625,0,55,0.0,1351.2763712080196,False
39,0.07359369798217501,0.07236656595865885,0.0712538821312689,0.0672519725324078,0.18637634813785553,0,55,0.0,1350.7673832080327,False
40,0.07322148954868317,0.07164243977864583,0.07029669730894027,0.06150978515771302,0.15696708858013153,0,55,0.0,1348.7857083329,False
41,0.07350339846100126,0.07150486653645834,0.07016920815744708,0.07426156743683598,0.16238641738891602,0,55,0.0,1349.5087425839156,False
42,0.07325280833244324,0.07124275309244792,0.06995548223680066,0.06317489248785106,0.18390293419361115,0,55,0.0,1347.9277534589637,True
43,0.07310121589899063,0.07149992930094401,0.07042326207314768,0.06793613332239064,0.19073139131069183,0,55,0.0,1384.5501437920611,False
44,0.07322993275097438,0.07100486348470052,0.06985087339339718,0.06785061218860475,0.2379181981086731,0,55,0.0,1350.3250403748825,True
45,0.0730705993260656,0.07070103403727214,0.06938681030273437,0.06495296491140669,0.15399609506130219,0,55,0.0,1366.6797002919484,True
