metric,n_pairs,qlstm_mean,qlstm_std,qslstm_mean,qslstm_std,diff_mean,diff_std,qslstm_better_seeds,wilcoxon_p,std_ratio_qslstm_over_qlstm,brown_forsythe_p
test_mse,20,0.11124357352802253,0.0029153301692780207,0.11125639391550139,0.004637220733531995,1.28203874788832e-05,0.0031918105618798957,13,0.4304332733154297,1.5906331236164577,0.1545214346311698
test_mae,20,0.2979345849806479,0.004842355556800572,0.2956696129492581,0.005653200142507433,-0.002264972031389689,0.00301498649011033,15,0.00830841064453125,1.1674483784174245,0.8152271748303836
test_rmse,20,0.33350490617365963,0.004359030085380542,0.333483610309532,0.006888248606490224,-2.1295864127604536e-05,0.004716502724394947,13,0.40909767150878906,1.580225066487212,0.1499060428630978
extrapolation_mse,20,0.11548757629725223,0.003909044480460681,0.11655254267582278,0.005582505585292865,0.0010649663785705379,0.004610216385536179,10,0.47490501403808594,1.4280997858164475,0.2630708100734712
extrapolation_mae,20,0.30379566838533867,0.006236908982362768,0.3039178069042989,0.007632001826621282,0.0001221385189602464,0.004922544099777248,10,0.7561664581298828,1.2236833739603497,0.37589287293561996
extrapolation_rmse,20,0.33978855601541513,0.005741217385239387,0.3413056044314954,0.00814519939172208,0.0015170484160802855,0.006681215111424773,10,0.4523754119873047,1.4187233900362852,0.26706042921967166
best_val_mse,20,0.07922918052673335,0.002638476188849772,0.07372450698852534,0.0029417813375433714,-0.005504673538208006,0.002260171765505549,20,1.9073486328125e-06,1.1149546658694023,0.6854163447615349
gap_train_test,20,0.033104631290398465,0.0034164292057934946,0.03963900948920569,0.005941187387213486,0.006534378198807231,0.004291049673472453,0,1.9073486328125e-06,1.7390049754692911,0.06968988047433827
gap_val_test,20,0.032014393001289165,0.003759732591533237,0.03753188692697606,0.006051134172767472,0.005517493925686889,0.004635931316343632,0,1.9073486328125e-06,1.6094586584147972,0.02620193580863444
gap_test_extrap,20,0.004244002769229724,0.004971266164882925,0.005296148760321379,0.004887555056275429,0.0010521459910916547,0.0025956840491742194,5,0.03623390197753906,0.9831610085175417,0.8447201710482725
