model,epoch,train_loss_mean,train_loss_std,val_mse_mean,val_mse_std,epoch_gap_mean,epoch_gap_std
qlstm,1,0.1402344135727201,0.06493205886311804,0.08627236305236813,0.004405565782588193,-0.05359878075628236,0.06120194865966088
qlstm,2,0.08496973798402714,0.002390975188535688,0.08469205314636227,0.0034000096864583635,-9.666054222715951e-05,0.0027462618965893035
qlstm,3,0.08397340128634653,0.0017601564217136524,0.08401469271341955,0.003310416771203463,0.00015027806546007437,0.0027129235123088424
qlstm,4,0.08337504873744075,0.001501978509452624,0.08344998700459794,0.0032020766197757315,0.00010634152036382017,0.0026139103868402097
qlstm,5,0.08273013930150437,0.001466964423643963,0.0832089813995361,0.003059283520694637,0.00039591645903300015,0.00245314774278001
qlstm,6,0.08226962889645775,0.0013670662592196116,0.0826818318176269,0.0031143544696999037,0.0002361368338770646,0.002634251516371404
qlstm,7,0.08176997771092819,0.001292293576269931,0.0823129265340169,0.0031937127556721867,0.000307724620614732,0.0026688003439356484
qlstm,8,0.08138929194211955,0.0014294970367235854,0.08233929519653316,0.003347807010451499,0.0006430126863141295,0.0027191312470582893
qlstm,9,0.08120195154058077,0.0014068666452488254,0.08186739929199215,0.0029057060443717507,0.0003053309872197103,0.00239413081356515
qlstm,10,0.08096256303169894,0.0012813751594723105,0.08151059043884273,0.0031213656990514197,0.0001497055761481854,0.0025521393793608575
qlstm,11,0.08064791032757075,0.0013398969735974558,0.08189570711771642,0.0030769647631581397,0.0007569277668328697,0.002566795397290725
qlstm,12,0.08055037236767153,0.0012493018207557095,0.08152585721333816,0.0032189554882055597,0.0004827636678784462,0.002605639843625242
qlstm,13,0.08033696525267188,0.001324542741920671,0.0814449727630615,0.0028361441521568146,0.0005951803151912988,0.0021818267514479308
qlstm,14,0.08026658738979267,0.001261981493083977,0.08128825045267736,0.0031051665869554737,0.00046427700584110996,0.0024526107488165366
qlstm,15,0.08021663975800783,0.001285153980704241,0.08130289212544756,0.002955265146100257,0.0005562165051836099,0.002558875894702384
qlstm,16,0.08011947083643499,0.0012465359414882875,0.08107478665669754,0.002904775846150253,0.0003866837223004821,0.0023727856500134646
qlstm,17,0.07996036661096977,0.0012094915462951131,0.08109460879007971,0.003078906946620529,0.0005367942452156264,0.002739645731309821
qlstm,18,0.07997287836670872,0.0011839771054612683,0.08099860087076818,0.0029570919314045106,0.0004108684387899124,0.0024830600188459565
qlstm,19,0.07999981029544553,0.0012469813647500384,0.08099688461303706,0.0032015120213857323,0.0003682608853287347,0.0026888085836030595
qlstm,20,0.07977007163379869,0.0011140059128241981,0.08089142794291174,0.003096320832705018,0.00048501845212301495,0.0024955211762096767
qlstm,21,0.07969397926756308,0.0010475752478583357,0.08094964655558264,0.002968998539575546,0.0005935275250590997,0.0026590942723231153
qlstm,22,0.0796235258438757,0.0010322087767317498,0.08114263979593908,0.0030240980374900187,0.0008244786018462853,0.002466641724329758
qlstm,23,0.07954491165237763,0.0011285822710599416,0.08086476175944006,0.003163597654616336,0.0006442006601853304,0.0026545187564823323
qlstm,24,0.07961152520903515,0.001075097057849452,0.08108375012715655,0.0031272227789610673,0.0007785922639518405,0.0027327766996780474
qlstm,25,0.07952312673160003,0.0011280832225321643,0.0806473200734456,0.0029859784709889516,0.0004237461518582182,0.002344970557997017
qlstm,26,0.07949311761472902,0.0011126146374355354,0.08043081677754715,0.0027946080910341447,0.00024645959868134157,0.002356259864141186
qlstm,27,0.0794437665002686,0.0011254843619296511,0.08068606709798173,0.0029632081904133263,0.0005237211548787618,0.0025756787409955757
qlstm,28,0.0793592278978654,0.0010366492557793584,0.08052913416544592,0.0027610324144945104,0.00044586496909367475,0.002372190125442496
qlstm,29,0.07930700323624265,0.0010697070882255883,0.08046529968261715,0.0026446651666396075,0.0004280817896677065,0.002162138241115663
qlstm,30,0.07925081027490749,0.001137058806517738,0.08062024375915525,0.0029654593666817155,0.0006241661478022763,0.0025205813562008683
qlstm,31,0.07927966802780113,0.0010823731989546344,0.08056461252848302,0.002758152608588412,0.0005429072767839438,0.002317384309669055
qlstm,32,0.07918787775614428,0.0010877734601289547,0.08048539934794104,0.0026964004284128927,0.0005301977807681713,0.0023786958231377664
qlstm,33,0.07919217870107716,0.001089020536775012,0.08056190058390295,0.0030156912940368717,0.0006024991317415976,0.0024753203301537546
qlstm,34,0.07916797079784525,0.0010450690394193131,0.08058786249796544,0.002595402032583339,0.0006404009613847746,0.0021827084111108704
qlstm,35,0.07917776130373985,0.0010757378091903957,0.08029054616292314,0.0026543870297002746,0.00033468777620434333,0.002285666017464171
qlstm,36,0.07908944006519654,0.0011306129301855811,0.08039592353820796,0.0027231793791437603,0.0005164181038668704,0.0023521773269178582
qlstm,37,0.07903814899410516,0.0011333876755373802,0.08027630521138504,0.0028220269169649133,0.00044314724987003993,0.0024845826328448637
qlstm,38,0.07899379196763033,0.0011737302052649808,0.08085018180847162,0.003710412626717698,0.0010363332873390648,0.0033400085522594398
qlstm,39,0.07904357991516585,0.0011102954821886417,0.08076446553548172,0.0029555023503971428,0.0009038545163408504,0.002557643314023394
qlstm,40,0.07897914395545205,0.0011573689329906177,0.08064518025716141,0.0030238122607518223,0.0008481899501678644,0.0026924486468992356
qlstm,41,0.07904221511270315,0.0012019687885386086,0.08023678199768061,0.002792081379958602,0.0003772974821966299,0.00248303327250211
qlstm,42,0.07894516690160544,0.0011118829326251453,0.08004493059794103,0.0027728279291663535,0.00028181164650597986,0.002432860462495206
qlstm,43,0.07891797480412886,0.0010734341231818667,0.08046130630493158,0.0027825685589270605,0.0007142375332419403,0.0025205975803990854
qlstm,44,0.07897452396026675,0.0011051387497213365,0.08022604235331213,0.002746700347057227,0.00041624073148597977,0.0025835027720926443
qlstm,45,0.07887432166337963,0.0011638083120454007,0.08015429547627763,0.0027294311309632034,0.00043677339592286676,0.002423218798052516
qlstm,46,0.0787718359981264,0.001157741204753707,0.08031318328857419,0.002708266239683696,0.0006895188543653653,0.0023471409982264413
qlstm,47,0.07886947268141162,0.0011367175301671558,0.08048423217773433,0.002982531517025889,0.000748999830125948,0.0026785543754515037
qlstm,48,0.07883586864428856,0.0011207379083432692,0.08040374875386551,0.0027647821437730554,0.0006920009924931386,0.002517446889389174
qlstm,49,0.07878894514271187,0.0011251577052994548,0.08036100517272945,0.002888169588036959,0.0006988418701881695,0.002342549115847129
qlstm,50,0.07875599661639754,0.0010666475297090112,0.08027637191772455,0.0031716119567198166,0.000647969782764471,0.0027952547747022004
qlstm,51,0.07878547585010523,0.0011364726735404302,0.08013146703084305,0.002789152086194561,0.00046570269446220695,0.0024628194621275712
qlstm,52,0.07871261418546945,0.0011937757954868435,0.08049973078409826,0.0034510101781639,0.000893942294692119,0.0029941422121230092
qlstm,53,0.07876023877688813,0.0012488904920696308,0.08026051048278803,0.0028983082413211888,0.0006177953594840545,0.002425808395314424
qlstm,54,0.07877976483170471,0.001117409115887077,0.08000619763692216,0.0026515983433906248,0.0003466310029411647,0.002382317180500868
