run_seed,model,extrapolation_mae,test_mae,extrapolation_mse,test_mse,test_rmse,extrapolation_rmse,best_epoch,best_train_loss,best_val_mse,gap_train_test,gap_val_test,gap_test_extrap
83453494,qlstm,0.3072201860664983,0.2922286078274638,0.1176046824600882,0.10767020690959,0.32813138665721997,0.3429353910871379,100,0.078260551563331,0.0760184590657552,0.029409655346259,0.0316517478438348,0.0099344755504982
88159254,qlstm,0.3036990292561954,0.2925173906694573,0.1151715728603747,0.1086037235578229,0.3295507905586374,0.3393693752541244,94,0.0780646716441427,0.08042060546875,0.0305390519136802,0.028183118089072895,0.006567849302551804
266064982,qlstm,0.3039420683541177,0.2935989089569726,0.1140025510982368,0.1085371990531322,0.3294498430006185,0.3376426381519917,98,0.0791992504000663,0.0790051615397135,0.029337948653065896,0.029532037513418694,0.005465352045104607
435874469,qlstm,0.2897755432050795,0.3055105966686184,0.1072524419650112,0.11568034514081,0.3401181340958021,0.3274941861545197,99,0.0777598900709833,0.0755559702555338,0.037920455069826706,0.040124374885276204,-0.008427903175798807
484324222,qlstm,0.2999844553674435,0.2985668766948269,0.1126515919824242,0.1117247100772877,0.3342524645792274,0.3356361005351245,100,0.0784584886559418,0.0813512908935546,0.0332662214213459,0.030373419183733097,0.0009268819051365118
867702092,qlstm,0.305330520518079,0.2956601981827674,0.1157715087673121,0.1105845846244165,0.3325426057280728,0.34025212529433535,94,0.0771223896486418,0.0779687505086263,0.0334621949757747,0.03261583411579021,0.005186924142895594
975428833,qlstm,0.3094110534033107,0.3013665122306169,0.1191439799231698,0.1135751225183528,0.3370090837326982,0.34517239160044333,100,0.0777830625431878,0.0736739212036132,0.035792059975165005,0.03990120131473961,0.005568857404816996
1023290587,qlstm,0.2950136451677855,0.2959949533191559,0.1096308137078614,0.109597470940972,0.3310550874718164,0.3311054419786262,100,0.0785679901157106,0.0803276473999023,0.0310294808252614,0.029269823541069703,3.334276688940485e-05
1106723791,qlstm,0.3089721172334018,0.3012450694791488,0.1177991916119252,0.1130139914567446,0.3361755366720556,0.34321886837982146,99,0.0763814329419817,0.0805830027262369,0.036632558514762895,0.03243098873050769,0.004785200155180608
1148376891,qlstm,0.3058560093402667,0.2999801146479013,0.1156681592490761,0.1128223859772839,0.33589043746031816,0.34010021941932955,91,0.0756245247125625,0.0777671544392903,0.03719786126472141,0.0350552315379936,0.0028457732717921957
1211904294,qlstm,0.3020112728572726,0.2911171129665338,0.1141471215634263,0.1073249750375292,0.32760490691918703,0.3378566583085589,98,0.0785875403114727,0.0790192494710286,0.0287374347260565,0.0283057255665006,0.006822146525897091
1212609727,qlstm,0.3127323612180874,0.2971452613902763,0.1200070056868696,0.1101796410103906,0.3319331875700148,0.3464202732041957,100,0.0786847277709416,0.0795535588582356,0.031494913239449,0.030626082152154996,0.009827364676479003
1668868548,qlstm,0.3037074448766202,0.2980220579881051,0.115268161859766,0.1103934698754932,0.33225512768878857,0.3395116520235587,91,0.0785229289702006,0.077440515645345,0.031870540905292594,0.0329529542301482,0.004874691984272803
1710807515,qlstm,0.3018562750768502,0.2994930833186546,0.1153670123278995,0.1112672242007298,0.33356742077236773,0.33965719825715385,81,0.0793686174239431,0.0818524983723958,0.0318986067767867,0.029414725828334,0.004099788127169698
1716202887,qlstm,0.3101689783779157,0.2900361661123966,0.1195640071580836,0.1075739647264578,0.32798470197016477,0.34578028740528804,93,0.0786198219401495,0.081977998860677,0.0289541427863083,0.025595965865780806,0.011990042431625797
1806016308,qlstm,0.3000170668670082,0.2949692118182429,0.1133805036750202,0.1090514140509081,0.3302293355395733,0.3367202157207378,56,0.0798618322696004,0.0779140589396158,0.02918958178130769,0.0311373551112923,0.0043290896241121035
1885117419,qlstm,0.3008517495773163,0.2970490996618157,0.1140581928249728,0.1099802639718239,0.33163272451889286,0.3377250254644639,89,0.0776744681085859,0.0795870544433593,0.03230579586323799,0.030393209528464596,0.004077928853148907
1952804984,qlstm,0.2952146500318026,0.3065604337815598,0.1118640652539418,0.1166198510283381,0.34149648757833234,0.3344608575811851,98,0.0785515617047037,0.0839936126708984,0.0380682893236344,0.032626238357439705,-0.0047557857743963095
1992756749,qlstm,0.3160460565723401,0.302068497683557,0.1252664276295904,0.1146918409006465,0.33866183856562065,0.3539299756019408,96,0.076130274942943,0.0771015177408854,0.038561565957703506,0.0375903231597611,0.010574586728943888
2036585866,qlstm,0.3041028843393827,0.305561546214886,0.116132534339995,0.1159790855017206,0.34055702239378444,0.3407822388857656,90,0.0795548190133912,0.08347158203125,0.0364242664883294,0.0325075034704706,0.00015344883827439482
83453494,qslstm,0.3041495412513764,0.2883052333499382,0.1151661510072765,0.1044399937513349,0.3231717712785801,0.3393613870305172,68,0.0727192815031324,0.0721121958414713,0.03172071224820251,0.032327797909863606,0.010726157255941587
88159254,qslstm,0.3003970628735842,0.2878830337127767,0.112924222376272,0.1062856123510074,0.32601474253629603,0.33604199495936815,96,0.0713044810124806,0.0767946141560872,0.0349811313385268,0.02949099819492021,0.006638610025264599
266064982,qslstm,0.3050637931019601,0.2939581526648283,0.1167801396295934,0.1094408071713453,0.3308183900138342,0.3417310925707425,94,0.0729596138255936,0.0745650624593099,0.0364811933457517,0.0348757447120354,0.007339332458248096
435874469,qslstm,0.2872422295177896,0.2999080208628351,0.1057836884873248,0.1135706532798734,0.3370024529285705,0.3252440445070821,95,0.0710908755574907,0.06886240234375,0.04247977772238269,0.04470825093612339,-0.00778696479254859
484324222,qslstm,0.2959214529204767,0.294384565272449,0.1096521705223751,0.1092183954951533,0.3304820653154318,0.33113769118355446,96,0.0733399780137198,0.0776218343098958,0.0358784174814335,0.0315965611852575,0.0004337750272217916
867702092,qslstm,0.305493649443987,0.2994892188647446,0.1180788688336164,0.1164619609998353,0.3412652355570888,0.34362605959620757,100,0.0697675704232284,0.073106731669108,0.0466943905766069,0.0433552293307273,0.0016169078337811005
975428833,qslstm,0.3117458323716756,0.3017393408194999,0.1223494654607264,0.1158177257621164,0.3403200343237471,0.3497848845515289,84,0.0720618959239551,0.0715527943929036,0.0437558298381613,0.04426493136921279,0.006531739698610012
1023290587,qslstm,0.2989080606482607,0.2972138148672618,0.1158873755948304,0.1149853244746795,0.3390948605842906,0.3404223488474727,90,0.0695555199810436,0.0721061152140299,0.0454298044936359,0.0428792092606496,0.0009020511201508902
1106723791,qslstm,0.304777144601009,0.2984460533452046,0.1172130019017941,0.1122387525271754,0.33502052553116113,0.3423638443261702,94,0.0692936778579439,0.0711124720255533,0.0429450746692315,0.04112628050162209,0.004974249374618697
1148376891,qslstm,0.3113016753246512,0.2961649191947343,0.1230868443735806,0.1141046634625436,0.33779381797561603,0.35083734746115697,100,0.0656451901410307,0.0686985361735026,0.0484594733215129,0.04540612728904099,0.008982180911037002
1211904294,qslstm,0.3049908970363744,0.2878006935071511,0.1166079340119687,0.1062002522104713,0.3258838017000405,0.3414790389057119,96,0.0738268652217728,0.0744922053019205,0.0323733869886985,0.03170804690855081,0.010407681801497398
1212609727,qslstm,0.3111852225516537,0.2944756653895155,0.1185214314260344,0.1081556473394592,0.328870259128823,0.3442694169194156,100,0.0734372151323727,0.0754002395629882,0.03471843220708651,0.032755407776471,0.010365784086575194
1668868548,qslstm,0.3064809559378848,0.2961839833094258,0.117018790492425,0.1100777792308237,0.3317797149176298,0.34208009368044934,99,0.0727301364413329,0.0742078094482421,0.03734764278949079,0.0358699697825816,0.006941011261601307
