epoch,train_loss,val_mse,val_loss_mask_mse,grad_norm_mean,grad_norm_max,clipped_batches,n_batches,clip_fraction,epoch_seconds,is_best,run_seed,model,epoch_gap
1,0.1641058374387877,0.0830486765543619,0.0837732248613911,0.4345928713679313,1.2875747680664062,0,55,0.0,1231.7509070839733,True,83453494,qlstm,-0.0803326125773966
2,0.0842795988151005,0.0815715087890625,0.0820489531486265,0.0521837408231063,0.1597225368022918,0,55,0.0,1300.6279700829182,True,83453494,qlstm,-0.0022306456664740043
3,0.0835625980922154,0.0811491719563802,0.0816155562862273,0.057369660069658,0.160427376627922,0,55,0.0,1324.122941333917,True,83453494,qlstm,-0.0019470418059881062
4,0.0830335731506347,0.080548941040039,0.0809042762018019,0.0585223569534718,0.1706053167581558,0,55,0.0,1318.083945334074,True,83453494,qlstm,-0.002129296948832793
5,0.0824126474516732,0.0800336934407552,0.0803084460842993,0.0451690241609784,0.1424228549003601,0,55,0.0,1323.951900749933,True,83453494,qlstm,-0.002104201367373909
6,0.081684149469648,0.0799711888631184,0.0799299995668472,0.0509888090955262,0.1521459221839904,0,55,0.0,1334.2195872920563,True,83453494,qlstm,-0.0017541499028008029
7,0.0808995697157723,0.0787891255696614,0.0786155680994833,0.0606858372857624,0.1601947247982025,0,55,0.0,1325.872833207948,True,83453494,qlstm,-0.0022840016162889998
8,0.0803308394721576,0.0798089487711588,0.0797199209890058,0.0684872378171845,0.2438407093286514,0,55,0.0,1313.0936174590606,False,83453494,qlstm,-0.0006109184831518122
9,0.0802312943254198,0.077692827351888,0.0774947814941406,0.0763926808637651,0.2321465760469436,0,55,0.0,1298.411900750012,True,83453494,qlstm,-0.0027365128312791948
10,0.0795637055124555,0.0772920206705729,0.0769623841316469,0.065406950677491,0.2048113495111465,0,55,0.0,1309.136618874967,True,83453494,qlstm,-0.0026013213808085967
11,0.0793980366502489,0.0770445668538411,0.0767184428553427,0.0665077082643454,0.1735639572143554,0,55,0.0,1306.1004927919712,True,83453494,qlstm,-0.0026795937949062043
12,0.0793846297604697,0.0777543863932291,0.077308352562689,0.0771419481543654,0.1992130279541015,0,55,0.0,1297.113330250024,False,83453494,qlstm,-0.002076277197780696
13,0.0790114823494638,0.0771992411295573,0.0767769627724924,0.0583558035252446,0.2044757306575775,0,55,0.0,1299.8743501250865,False,83453494,qlstm,-0.0022345195769714055
