epoch,train_mse_scaled,val_mse_scaled,train_mse_mwh2,val_mse_mwh2,grad_norm_mean,grad_norm_max,clipped_batches,n_batches,clip_fraction,n_train_windows,epoch_order_sha256,epoch_seconds,is_best
1,0.9805394032978276,0.6587291811451768,13647.826486353462,9168.648945193276,1.397672542210283,4.058295249938965,0,29,0.0,227,1d4c6dd58916fb9eab021f0af4f437acea988416393cd6136d602778a73018bb,17.825098100001924,True
2,0.6034508990821335,0.34047504898273584,8399.247532539417,4738.967527282204,1.0678355149154006,2.2920894622802734,0,29,0.0,227,200fc597c2c787cf84bacfc018b41f9d3c751bc602ab93b787105cc6a7eb7bc5,29.894524499999534,True
