model,n_seeds,n_mean,n_sd,mse_mean,mse_sd,mae_mean,mae_sd,rmse_mean,rmse_sd,r2_mean,r2_sd,n_negative_predictions_mean,n_negative_predictions_sd
qlstm,2,68.0,0.0,9888.8739163944,6726.1442093072155,73.00430208710878,20.62885196358404,96.32989697286504,34.9120284598762,0.4429862673733018,0.37886565486494755,0.0,0.0
qslstm,2,68.0,0.0,11047.872018754644,2392.4062987405105,83.96025391019452,6.57544026602273,104.79851495838328,11.414313932265955,0.37770301423841657,0.13475782719929325,0.0,0.0
