run_seed,model,dataset_id,subset,group_type,group,forecaster,n,mse,mae,rmse,r2,n_negative_predictions,negative_prediction_fraction
0,qlstm,b34896367832cf11,all_eligible,hour_est,4,model,3,977.8045596026648,30.95903282258229,31.269866638709296,-4399.12051821199,0.0,0.0
0,qlstm,b34896367832cf11,all_eligible,hour_est,4,persistence,3,0.3333333333333333,0.3333333333333333,0.5773502691896257,-0.4999999999999998,,
0,qlstm,b34896367832cf11,all_eligible,hour_est,5,model,3,585.4400540149912,23.478851456393624,24.195868531941382,-93.08858010955215,0.0,0.0
0,qlstm,b34896367832cf11,all_eligible,hour_est,5,persistence,3,91.33333333333331,9.333333333333334,9.556847457887631,-13.67857142857143,,
0,qlstm,b34896367832cf11,all_eligible,hour_est,6,model,3,156.23977444961182,11.102834460368614,12.499590971292294,-174.7697462558133,0.0,0.0
0,qlstm,b34896367832cf11,all_eligible,hour_est,6,persistence,3,1283.6666666666667,35.666666666666664,35.828294219327084,-1443.1249999999998,,
0,qlstm,b34896367832cf11,all_eligible,hour_est,7,model,3,5893.863279560782,75.72943053083257,76.77150043838391,-46.960912763152834,0.0,0.0
0,qlstm,b34896367832cf11,all_eligible,hour_est,7,persistence,3,6921.666666666667,82.33333333333333,83.19655441583303,-55.3245931283906,,
0,qlstm,b34896367832cf11,all_eligible,hour_est,8,model,3,15705.538092507668,125.21251558985962,125.32173830787563,-77.2668011254535,0.0,0.0
0,qlstm,b34896367832cf11,all_eligible,hour_est,8,persistence,3,5402.0,73.33333333333333,73.49829930005184,-25.920265780730897,,
0,qlstm,b34896367832cf11,all_eligible,hour_est,9,model,3,31418.090363391308,175.33302651305775,177.2514890301103,-30.025105691301487,0.0,0.0
0,qlstm,b34896367832cf11,all_eligible,hour_est,9,persistence,3,5979.666666666667,75.0,77.32830443418933,-4.904871626069783,,
0,qlstm,b34896367832cf11,all_eligible,daylight_proxy,False,model,24,659.6850873971717,23.74444168033453,25.684335447840027,0.0570220809697066,0.0,0.0
0,qlstm,b34896367832cf11,all_eligible,daylight_proxy,False,persistence,24,100.16666666666669,4.333333333333333,10.00832986400162,0.8568181141365311,,
0,qlstm,b34896367832cf11,all_eligible,daylight_proxy,True,model,44,22273.3166492907,122.4165549359168,149.24247602238012,-0.4745377806463831,0.0,0.0
0,qlstm,b34896367832cf11,all_eligible,daylight_proxy,True,persistence,44,3336.0454545454545,48.31818181818182,57.7585098019803,0.7791471679707136,,
0,qlstm,b34896367832cf11,all_eligible,large_ramp,False,model,54,15463.63763915776,87.63975179940334,124.35287547603296,0.2330600649044731,0.0,0.0
0,qlstm,b34896367832cf11,all_eligible,large_ramp,False,persistence,54,803.4814814814815,18.925925925925927,28.34574891375216,0.96015025379944,,
0,qlstm,b34896367832cf11,all_eligible,large_ramp,True,model,14,11487.281582271711,87.40345859575635,107.17873661445964,-0.6457267087290528,0.0,0.0
0,qlstm,b34896367832cf11,all_eligible,large_ramp,True,persistence,14,7557.285714285715,86.28571428571429,86.93265045013706,-0.0826954015553036,,
0,qlstm,b34896367832cf11,baseline_common,overall,all,model,68,14644.97609803416,87.59110319865249,121.01642904182124,0.1750877936596153,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,overall,all,persistence,68,2193.970588235294,32.794117647058826,46.83983975458599,0.8764195239055373,,
0,qlstm,b34896367832cf11,baseline_common,overall,all,daily_persistence,68,2471.9117647058824,34.94117647058823,49.7183242346912,0.8607638432420521,,
0,qlstm,b34896367832cf11,baseline_common,month,6,model,68,14644.97609803416,87.59110319865249,121.01642904182124,0.1750877936596153,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,month,6,persistence,68,2193.970588235294,32.794117647058826,46.83983975458599,0.8764195239055373,,
0,qlstm,b34896367832cf11,baseline_common,month,6,daily_persistence,68,2471.9117647058824,34.94117647058823,49.7183242346912,0.8607638432420521,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,0,model,2,645.7291463143695,25.40585941142787,25.411201197786173,0.2825231707618116,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,0,persistence,2,0.0,0.0,0.0,1.0,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,0,daily_persistence,2,1800.0,30.0,42.42640687119285,-1.0,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,1,model,2,330.7183597529776,13.59018483985014,18.18566357747161,-0.4698593766799006,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,1,persistence,2,450.0,15.0,21.213203435596427,-1.0,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,1,daily_persistence,2,450.0,15.0,21.213203435596427,-1.0,,
