epoch,train_loss,val_mse,val_loss_mask_mse,grad_norm_mean,grad_norm_max,clipped_batches,n_batches,clip_fraction,epoch_seconds,is_best
1,0.09053533792495727,0.08624334513346354,0.0861789304671749,0.11404915952377699,0.60512375831604,0,55,0.0,1241.217831667047,True
2,0.08246192070416042,0.08506321309407552,0.0849547591670867,0.042375115681947635,0.12451539188623428,0,55,0.0,1290.6958787910407,True
3,0.08189234134980611,0.08420199279785157,0.08399529044858871,0.04711119364100424,0.19471342861652374,0,55,0.0,1331.278497625026,True
4,0.08075201415164131,0.08323351745605469,0.08295632147019909,0.05630659913982857,0.19814473390579224,0,55,0.0,1329.3419821249554,True
5,0.07989074577604022,0.08243606363932292,0.08210521082724294,0.046607238215140324,0.14108909666538239,0,55,0.0,1339.1754252919927,True
6,0.07959755326168878,0.08179645284016927,0.08140125594600554,0.05250695352865891,0.16044649481773376,0,55,0.0,1334.4038380840793,True
7,0.07926213598251343,0.08257937520345052,0.08218862816595263,0.05282247343354605,0.19587349891662598,0,55,0.0,1338.7752195000648,False
8,0.07884780150651932,0.08105872497558594,0.08052205239572832,0.059460260160267356,0.22427904605865479,0,55,0.0,1323.8329535829835,True
9,0.07839554627452577,0.08126769002278646,0.08069865269814769,0.061939914541488346,0.18227653205394745,0,55,0.0,1306.3789081249852,False
10,0.07872437846660614,0.08071342264811197,0.08001019483996975,0.07565008147027005,0.24391764402389526,0,55,0.0,1321.6207347920863,True
11,0.07820244856391634,0.08096935323079427,0.0802936037125126,0.06605741104788401,0.17543433606624603,0,55,0.0,1319.3057183750207,False
12,0.07793890077727182,0.08019967295328775,0.07942132174584174,0.06212354348125783,0.18492154777050018,0,55,0.0,1317.0495695000282,True
13,0.07784326096091952,0.08009217427571615,0.07928693512947328,0.06410702869126743,0.1642128825187683,0,55,0.0,1314.9557137079537,True
14,0.07757082300526755,0.0800123311360677,0.07916967379662299,0.05809487568383867,0.16701099276542664,0,55,0.0,1327.0940685829846,True
15,0.07746474679027285,0.08046795857747396,0.07960627648138231,0.06328665206886151,0.16771188378334045,0,55,0.0,1334.6372370000463,False
16,0.07756197943857739,0.08095613962809245,0.08005147921654486,0.07629018558866599,0.24926456809043884,0,55,0.0,1332.7053844999755,False
17,0.0772342654126031,0.07971419118245443,0.07875560834330897,0.06589442383159291,0.21126946806907654,0,55,0.0,1333.9201588339638,True
18,0.07707805404492787,0.0796829350789388,0.07869098786384829,0.0580620160495693,0.1813402771949768,0,55,0.0,1338.4534909590147,True
19,0.07720071113109589,0.08014896850585937,0.07913658683530746,0.07119681338610297,0.23337572813034058,0,55,0.0,1338.1183653330663,False
20,0.07713167437485287,0.07955743560791016,0.07851006390971522,0.06652779157527468,0.2208072543144226,0,55,0.0,1337.858352500014,True
21,0.07696230128833226,0.08118279520670572,0.08011392310357864,0.061858772080052984,0.21467652916908264,0,55,0.0,1340.6434687500587,False
22,0.07706710588080543,0.07929632873535156,0.07819124578660534,0.07140427031130954,0.21099798381328583,0,55,0.0,1338.38489170908,True
23,0.07684583256074361,0.07928299560546875,0.07816109146610382,0.06415052214129405,0.2580210566520691,0,55,0.0,1339.5333771251608,True
24,0.07683268302679062,0.07962101593017579,0.0784891588764806,0.06458384069529446,0.1797662377357483,0,55,0.0,1333.8964094999246,False
25,0.07716616117102759,0.07923625946044922,0.07807406616210938,0.08119968437505039,0.35931500792503357,0,55,0.0,1336.1131275841035,True
26,0.07708222217219217,0.08016109212239583,0.07898758476011215,0.07957915419881995,0.2500985264778137,0,55,0.0,1339.1764889170881,False
27,0.07665849447250367,0.0792808614095052,0.07809137258222026,0.0685789434323934,0.24483813345432281,0,55,0.0,1333.4629088749643,False
28,0.0769403533084052,0.0797157216389974,0.07851015250913558,0.08052939811552112,0.22297807037830353,0,55,0.0,1342.4635040420108,False
29,0.07647693575280053,0.07950311381022135,0.07828568489320817,0.06466611174189231,0.2505371570587158,0,55,0.0,1338.1188376669306,False
30,0.07628200097594942,0.07950064798990886,0.07826703471522177,0.04940727613019672,0.18030385673046112,0,55,0.0,1334.5111154580954,False
31,0.07688188856840134,0.0795297373453776,0.07827736491541709,0.08394738787954503,0.3147815465927124,0,55,0.0,1337.69256033306,False
32,0.07625068880830492,0.07911026306152344,0.07784827004709552,0.05691202938218008,0.18528041243553162,0,55,0.0,1338.5769858339336,True
33,0.07671919857604163,0.07901883850097656,0.07773989622054561,0.08096545748412609,0.3167427182197571,0,55,0.0,1333.8463510831352,True
