epoch,train_loss,val_mse,val_loss_mask_mse,grad_norm_mean,grad_norm_max,clipped_batches,n_batches,clip_fraction,epoch_seconds,is_best
1,0.2682989245397704,0.09605509033203125,0.09701175222089213,0.667212441157211,1.7032384872436523,0,55,0.0,1420.5926829590462,True
2,0.08989482307434082,0.09232160847981771,0.09292375035439768,0.0695096480236812,0.2402781844139099,0,55,0.0,1416.5983082500752,True
3,0.08783807854141508,0.09083241271972656,0.09139629733177923,0.06395659998736598,0.24588169157505035,0,55,0.0,1423.254244083073,True
4,0.0863216552564076,0.08962330423990886,0.08997658218876008,0.05573561741885814,0.17385266721248627,0,55,0.0,1419.7903797090985,True
5,0.08518961845125471,0.08845342610677083,0.08863157604586694,0.055321538016538725,0.15962053835391998,0,55,0.0,1414.1695054171141,True
6,0.08393626808268684,0.08729791666666667,0.0872499251827117,0.056895487383008,0.19105540215969086,0,55,0.0,1417.7778629579116,True
7,0.08298590460845402,0.08678999532063802,0.08666638478925151,0.06301432046192613,0.28126415610313416,0,55,0.0,1429.5504629579373,True
8,0.08205762625592096,0.08670291544596354,0.0862679177561114,0.05828649602322416,0.1735106259584427,0,55,0.0,1426.2718735001981,True
9,0.0820031566619873,0.08584562683105469,0.08534413786857359,0.08197139805521478,0.21984754502773285,0,55,0.0,1415.051061541075,True
10,0.08117677284990038,0.0852001953125,0.08464646862399193,0.05748816259544004,0.19092942774295807,0,55,0.0,1409.0676121250726,True
11,0.08108033435685294,0.08574757893880208,0.08515630808184224,0.07052280198867349,0.24347394704818726,0,55,0.0,1412.9008657080121,False
12,0.08103174104860851,0.08497821095784505,0.08432215044575353,0.08341966840353879,0.24561266601085663,0,55,0.0,1330.1433211660478,True
13,0.08065161479370934,0.08644803161621094,0.08566938141853579,0.059372988622635604,0.22011055052280426,0,55,0.0,1026.4139153331053,False
14,0.08066864300625665,0.08525067850748698,0.0845011734501008,0.06734614627097141,0.22111806273460388,0,55,0.0,1020.681988540804,False
15,0.08058746837718146,0.08515198364257813,0.08442405257686492,0.0689416429281912,0.16067001223564148,0,55,0.0,1024.840323917102,False
16,0.08050600928919656,0.08480983479817708,0.08403974963772681,0.06416893091730096,0.22599053382873535,0,55,0.0,1020.2595040411688,True
17,0.08022849695171629,0.08462513885498046,0.08385060857957409,0.054618088198317725,0.16424304246902466,0,55,0.0,1023.120761165861,True
18,0.08021146070957184,0.0848054682413737,0.08402908226751513,0.06319645121693611,0.1620027869939804,0,55,0.0,1024.8090062078554,False
19,0.08072140627247947,0.08541400299072266,0.08462916269610005,0.07871514000845227,0.2379162758588791,0,55,0.0,1020.8292658750433,False
20,0.08060450772728239,0.08502650756835937,0.08424372519216229,0.07685884864662182,0.22568053007125854,0,55,0.0,1014.4890857080463,False
21,0.0801901267000607,0.08465782826741536,0.08385459555349042,0.06642759980379857,0.21414922177791595,0,55,0.0,1004.0146482922137,False
22,0.08034716274908611,0.08482341969807942,0.08399646192981351,0.07072505066171289,0.27374207973480225,0,55,0.0,1003.8358855838887,False
23,0.08002701800210135,0.08442992757161458,0.08360891920520414,0.05388162907382304,0.19342441856861115,0,55,0.0,1011.415024457965,True
24,0.08000420215300151,0.08460867614746094,0.0837825681624874,0.0573943121697415,0.25589266419410706,0,55,0.0,1008.6830347499344,False
25,0.08049050861597061,0.08469787038167317,0.08387317485194053,0.08503264499489557,0.22752240300178528,0,55,0.0,998.0363556658849,False
26,0.08025480541161129,0.0844986572265625,0.08366486186365928,0.07150010435672646,0.2339746505022049,0,55,0.0,992.1443273751065,False
27,0.08004840674570629,0.0864419169108073,0.08559084590788811,0.06737899887798862,0.19504161179065704,0,55,0.0,994.9947170000523,False
28,0.08024159982374736,0.08447918599446615,0.08363474987399193,0.07865964723750948,0.19370965659618378,0,55,0.0,987.6177973749582,False
29,0.08009934887715749,0.08431893971761067,0.0834817376905872,0.05955952333117073,0.17168162763118744,0,55,0.0,992.59719675011,True
30,0.08056945845058987,0.0843709238688151,0.08352745597593246,0.086330913760784,0.2546159327030182,0,55,0.0,993.2360712920781,False
31,0.08061421946968352,0.08432576344807943,0.08348555534116683,0.08753741253167391,0.2173192948102951,0,55,0.0,992.8069517919794,False
32,0.07989545922619956,0.08467322692871093,0.08382910796134703,0.05076626967638731,0.14460092782974243,0,55,0.0,990.713032291038,False
33,0.08017813304492405,0.08592086130777994,0.0850585189327117,0.0759873870082877,0.23652063310146332,0,55,0.0,985.952588125132,False
34,0.0804489712033953,0.08433799336751302,0.08348610367313508,0.07587516809051686,0.20935478806495667,0,55,0.0,992.500871208962,False
35,0.08017304063694818,0.0842926254272461,0.08344082247826361,0.07644175744022835,0.23275773227214813,0,55,0.0,989.3308548750356,True
