model,case_type,n_seeds,mse_mean,mse_sd,mae_mean,mae_sd,final_mse_mean,final_mse_sd,event_mse_mean,event_mse_sd,nonevent_mse_mean,nonevent_mse_sd,drift_nonevent_mean,drift_nonevent_sd,drift_post_best_mean,drift_post_best_sd,revision_gain_mean,revision_gain_sd,alpha_event_mean,alpha_event_sd,alpha_nonevent_mean,alpha_nonevent_sd,alpha_contrast_mean,alpha_contrast_sd
qlstm,all,1,0.7423670226492042,,0.781179249228444,,0.672523797689249,,0.5429453510336079,,0.7938997105111634,,0.0384318686231519,,0.0342601932811014,,0.0197478768726189,,0.5520773306488991,,0.5259115673071924,,0.0261657633417066,
qlstm,early,1,0.1591235177906184,,0.3436135934732322,,0.105073100612911,,0.0568089602639233,,0.166993868369595,,0.0329738159974416,,0.0313139449466358,,0.1089606583118438,,0.4434902667999267,,0.5303424367537866,,-0.0868521699538598,
qlstm,iid,1,0.6006670685084897,,0.7534560071570533,,0.3568778161990613,,0.6818796594373977,,0.587131636687005,,0.0506701103665611,,0.0123848617076873,,-0.002175360918045,,0.5746974647045135,,0.5078760658701261,,0.0668213988343874,
qlstm,late,1,0.9705980206083566,,0.9359333770615714,,0.7142076868785843,,0.7286232592101326,,1.0365911373533268,,0.0361316695809364,,0.0593900879224141,,-0.027800644437472,,0.5942686994870504,,0.546243510463021,,0.0480251890240294,
qlstm,near_best,1,1.239079483689352,,1.091714019221919,,1.5139365870664392,,0.7044695252229781,,1.3848821996347267,,0.0339518785476684,,0.0339518785476684,,6.854534149169922e-06,,0.5958528916041056,,0.5191842561418359,,0.0766686354622696,
qslstm,all,1,0.7452750760399587,,0.7875809706165455,,0.6244360885995435,,0.5703196330450643,,0.7921938159753596,,0.0144305440851233,,0.0111883532143,,0.0040623334546883,,0.2195868616302808,,0.1419192391040947,,0.077667622526186,
qslstm,early,1,0.1629995357063138,,0.3574212169873395,,0.0794873448685965,,0.0741100134320502,,0.1698371912658725,,0.0109638199210166,,0.0114866224202242,,0.0357050895690918,,0.0300117433071136,,0.1080857094090718,,-0.0780739661019582,
qslstm,iid,1,0.6172958047612234,,0.7657260809625898,,0.42945346680201,,0.7513646020925524,,0.594951005206002,,0.0141760110855102,,0.0047194212675094,,-0.0065298378467559,,0.0514923930168151,,0.0542682675489534,,-0.0027758745321383,
qslstm,late,1,0.9809665003786284,,0.9437667184642384,,0.6158771156890888,,0.7588535802680587,,1.0415427513178748,,0.0241942703723907,,0.0201592942078908,,-0.0173119405905405,,0.3570493459701538,,0.2660761854865334,,0.0909731604836203,
qslstm,near_best,1,1.2198384633136694,,1.0834098660520144,,1.372926427038479,,0.6969503363875958,,1.3624443161116897,,0.0083880749615755,,0.0083880749615755,,0.0043860226869583,,0.4397939642270406,,0.1392467939718203,,0.3005471702552202,
