run_seed,model,split,case_type,n_sequences,n_metric_steps,n_events,n_nonevents,n_drift_steps,n_revision_steps,mse,mse__n,mae,mae__n,final_mse,final_mse__n,final_mae,final_mae__n,event_mse,event_mse__n,event_mae,event_mae__n,nonevent_mse,nonevent_mse__n,nonevent_mae,nonevent_mae__n,drift_nonevent,drift_nonevent__n,drift_post_best,drift_post_best__n,revision_gain,revision_gain__n,event_abs_err_lag_m2,event_abs_err_lag_m2__n,best_abs_err_lag_m2,best_abs_err_lag_m2__n,event_abs_err_lag_m1,event_abs_err_lag_m1__n,best_abs_err_lag_m1,best_abs_err_lag_m1__n,event_abs_err_lag_0,event_abs_err_lag_0__n,best_abs_err_lag_0,best_abs_err_lag_0__n,event_abs_err_lag_1,event_abs_err_lag_1__n,best_abs_err_lag_1,best_abs_err_lag_1__n,event_abs_err_lag_2,event_abs_err_lag_2__n,best_abs_err_lag_2,best_abs_err_lag_2__n,event_abs_err_lag_3,event_abs_err_lag_3__n,best_abs_err_lag_3,best_abs_err_lag_3__n,event_abs_err_lag_4,event_abs_err_lag_4__n,best_abs_err_lag_4,best_abs_err_lag_4__n,event_abs_err_lag_6,event_abs_err_lag_6__n,best_abs_err_lag_6,best_abs_err_lag_6__n,event_abs_err_lag_8,event_abs_err_lag_8__n,best_abs_err_lag_8,best_abs_err_lag_8__n,event_abs_err_lag_12,event_abs_err_lag_12__n,best_abs_err_lag_12,best_abs_err_lag_12__n,event_abs_err_lag_16,event_abs_err_lag_16__n,best_abs_err_lag_16,best_abs_err_lag_16__n,alpha_event,alpha_event__n,alpha_nonevent,alpha_nonevent__n,alpha_contrast,alpha_contrast__n,event_alpha_lag_m2,event_alpha_lag_m2__n,best_alpha_lag_m2,best_alpha_lag_m2__n,event_alpha_lag_m1,event_alpha_lag_m1__n,best_alpha_lag_m1,best_alpha_lag_m1__n,event_alpha_lag_0,event_alpha_lag_0__n,best_alpha_lag_0,best_alpha_lag_0__n,event_alpha_lag_1,event_alpha_lag_1__n,best_alpha_lag_1,best_alpha_lag_1__n,event_alpha_lag_2,event_alpha_lag_2__n,best_alpha_lag_2,best_alpha_lag_2__n,event_alpha_lag_3,event_alpha_lag_3__n,best_alpha_lag_3,best_alpha_lag_3__n,event_alpha_lag_4,event_alpha_lag_4__n,best_alpha_lag_4,best_alpha_lag_4__n,event_alpha_lag_6,event_alpha_lag_6__n,best_alpha_lag_6,best_alpha_lag_6__n,event_alpha_lag_8,event_alpha_lag_8__n,best_alpha_lag_8,best_alpha_lag_8__n,event_alpha_lag_12,event_alpha_lag_12__n,best_alpha_lag_12,best_alpha_lag_12__n,event_alpha_lag_16,event_alpha_lag_16__n,best_alpha_lag_16,best_alpha_lag_16__n
435874469,qslstm_log,extrapolation,all,250,15500,806,14694,14565,685,0.10665864291899455,250,0.2898930389418477,250,0.1177440203378584,250,0.3093216563127935,250,0.0854101613766741,241,0.2606226000468135,241,0.10748302205058996,250,0.29107292760935255,250,0.021884229244203603,250,0.01822269298527649,250,0.04670719838824799,235,0.2583868605839222,226,0.27576392369686864,226,0.26308858342388297,235,0.281864250234348,235,0.2606226000468135,241,0.2663763854613999,241,0.2721914574717821,241,0.2821555532460947,241,0.2762357473295688,241,0.28768368287082124,239,0.27751719206383185,241,0.287330835110352,233,0.2769448155056826,241,0.2898060649984696,228,0.28170898082217677,241,0.2924114779186235,214,0.2850840228051502,241,0.2933541602299859,204,0.28550979541355487,240,0.2981604623076107,182,0.2871611561010881,239,0.2969450954195557,159,0.13860708039920347,241,0.0355938484199281,250,0.10312839807336312,241,0.12251693788370638,226,0.07503041314719393,226,0.1314632846943453,235,0.07174711796464993,235,0.13860708039920347,241,0.06596691125841556,241,0.10849841043025923,241,0.055195095600112036,241,0.08890193057522566,241,0.04747324265884508,239,0.07655662985685519,241,0.042280324932603496,233,0.06756299479663166,241,0.03963853600394111,228,0.0534522804026207,241,0.03482387792950096,214,0.04541627354736044,241,0.031303830229672695,204,0.034041436499978074,240,0.025996854473775314,182,0.02707820793188721,239,0.02376131522879239,159
435874469,qslstm_log,extrapolation,iid,63,3906,210,3696,3661,182,0.08017673422044606,63,0.24590657247296938,63,0.07624968568746399,63,0.2446853250324253,63,0.061239677865801104,62,0.20751052509122256,62,0.08122612691876097,63,0.24804051988024078,63,0.022606254191663545,63,0.01820366770870111,63,0.03261844420865659,62,0.22035318649755534,60,0.2370722354738973,60,0.21557661565990807,62,0.23480748421617695,62,0.20751052509122256,62,0.22740772621886385,62,0.22989367588889745,62,0.23945749734318064,62,0.2297131514670731,62,0.24037130167860477,61,0.23333297781128554,62,0.24146971414934415,61,0.23880471776103843,62,0.249152820960929,60,0.23840003423104866,62,0.23657103049519815,57,0.2445369780966161,62,0.23863932354883713,55,0.2522115961319306,62,0.24138532816729646,47,0.25135376984553953,62,0.23822079442961272,43,0.11311470184227689,62,0.035060465387954286,63,0.07802025115432167,62,0.08763470428361972,60,0.04001148329504455,60,0.10262623013964836,62,0.044086954026903595,62,0.11311470184227689,62,0.03773086229639669,62,0.09027226917996799,62,0.03186878885683273,62,0.07355317554684118,62,0.030901473618616334,61,0.06466067888044012,62,0.027325185073051053,61,0.05805678225373463,62,0.025367834931239487,60,0.04443234974062772,62,0.02013317228033485,57,0.037368433764680055,62,0.018526438951746306,55,0.030179405365619926,62,0.017954532651508107,47,0.022921300411439673,62,0.014669224397864106,43
435874469,qslstm_log,extrapolation,late,63,3906,297,3609,3574,269,0.09759094287769568,63,0.28210227075903177,63,0.1189910384357208,63,0.32447018193465377,63,0.1012546299331765,63,0.2917894316842794,63,0.09748295004699735,63,0.2816878997884994,63,0.021456073277107728,63,0.015175921966099242,63,0.03511131877249961,63,0.2787806552365275,63,0.2783942125028088,63,0.2732594932177127,63,0.2762136243520275,63,0.2917894316842794,63,0.31275186950843487,63,0.29572593066831687,63,0.32043274731508326,63,0.2976276709574949,63,0.3239583989845649,62,0.2938158053144509,63,0.3193531029059419,56,0.2883859917486749,63,0.3146937240201693,52,0.2973465368093706,63,0.32712054961338277,41,0.2912949114931387,63,0.33338133494059247,33,0.2749810000574689,62,0.34636691585183144,19,0.2717106671018016,61,,0,0.09087814217427234,63,0.03544296434614198,63,0.05543517782813033,63,0.07142696256210106,63,0.010219018666132812,63,0.08642828046244436,63,0.01021433859834418,63,0.09087814217427234,63,0.009269449238975843,63,0.07286515966254646,63,0.008736435312866456,63,0.06075377972579157,63,0.008696931198374518,62,0.055231115580974335,63,0.008745827458499531,56,0.05009533911315309,63,0.008593648376588065,52,0.04213284910472898,63,0.008680963525321425,41,0.03748344683269512,63,0.008352125613865528,33,0.02976100995464699,62,0.00679245381616056,19,0.02464804230060663,61,,0
435874469,qslstm_log,extrapolation,early,62,3844,157,3687,3655,127,0.08487850779960007,62,0.2546524617141505,62,0.08710898059891334,62,0.2568604870428962,62,0.0824508485144566,59,0.25983886978086507,59,0.08497954789661934,62,0.25443349762233525,62,0.021241395241096576,62,0.019264145829294355,62,0.06314906561854242,58,0.26814060246921867,54,0.29278636570261035,54,0.28097616846809675,58,0.302307528387434,58,0.25983886978086507,59,0.24954606832589132,59,0.2637855444307371,59,0.2625625584337671,59,0.2678337841242089,59,0.26740308699466414,59,0.2729461216978139,59,0.26698945147001135,59,0.2700785782025064,59,0.2667927510910115,59,0.26898637867748404,59,0.2703647806735362,59,0.26770704943150025,59,0.26210113160185894,59,0.2628220804351366,59,0.2602173626675444,59,0.25735664598349123,59,0.2568387643007909,59,0.17073944462515875,59,0.03270698697010176,62,0.13850875170179264,59,0.17335965776884998,54,0.1313143818880673,54,0.17317559309892527,58,0.1202593520283699,58,0.17073944462515875,59,0.1044362653993954,59,0.13001652874452413,59,0.08549848363056022,59,0.10834873356503873,59,0.07267592200156996,59,0.09141633227562246,59,0.061668536925719955,59,0.08010392908196327,59,0.05772069737441459,59,0.062311759870499375,59,0.04903380288663557,59,0.05269707280953052,59,0.04031205366728669,59,0.03657868290898827,59,0.030498077287891154,59,0.02797871418165748,59,0.023636464708311072,59
435874469,qslstm_log,extrapolation,near_best,62,3844,142,3702,3675,107,0.16456176756436294,62,0.37774596750916983,62,0.18927552689631177,62,0.4120688216550456,62,0.09725170378869706,57,0.28475730776220387,57,0.16682825313248903,62,0.38097523565520525,62,0.02222845444468263,62,0.020296484764362112,62,0.05921517676458909,52,0.2679890916096743,49,0.3010002753355217,49,0.2874634824967824,52,0.3220142269811521,52,0.28475730776220387,57,0.2749270887784006,57,0.3008886419661474,57,0.30657314857173906,57,0.31189233652310583,57,0.3198517181404066,57,0.3122944166333747,57,0.3260049231252388,57,0.3128921831854516,57,0.33371522102766393,57,0.32470235254136265,57,0.346106016534593,57,0.3403098511144693,57,0.35532517674003256,57,0.356665038418199,57,0.36818066522021564,57,0.37349455739474957,57,0.3827594546927956,57,0.18582885389690074,57,0.03917601354173626,62,0.14653080369358934,57,0.1748862355871468,49,0.13921244031920724,49,0.17388229933925547,52,0.12516607351314563,52,0.18582885389690074,57,0.11952626649617103,57,0.14543431526082648,57,0.10054995037876722,57,0.11657903476601891,57,0.08129870126906194,57,0.0976852950710825,57,0.0711626211148605,57,0.0842284748472317,57,0.0642653553044064,57,0.06660404503781196,57,0.0536106172295516,57,0.055401659390905446,57,0.04759641952420536,57,0.04027187225452422,57,0.034370549072168376,57,0.03326835707292963,57,0.03074949218385052,57
