epoch,train_loss,val_mse,val_loss_mask_mse,grad_norm_mean,grad_norm_max,clipped_batches,n_batches,clip_fraction,epoch_seconds,is_best
1,0.09321754965611867,0.08343905029296875,0.08332083129882813,0.13291458604349332,0.5852106809616089,0,55,0.0,1098.751626458019,True
2,0.08375043912444796,0.08345178629557291,0.0833018552718624,0.04740183510902253,0.12847261130809784,0,55,0.0,1402.9617156658787,False
3,0.08288473785775048,0.0818432362874349,0.08169500437090474,0.05853341900404881,0.1965886503458023,0,55,0.0,1408.150481000077,True
4,0.08145425461019788,0.08137968851725261,0.08126267956149194,0.04738090991635214,0.13445749878883362,0,55,0.0,1396.8488104590215,True
5,0.08086591582638877,0.08010935363769531,0.07987912873298891,0.050786590787836094,0.1406274288892746,0,55,0.0,1408.9421779590193,True
6,0.08027190759352275,0.0794660634358724,0.07919499255764868,0.06354759161106564,0.14774711430072784,0,55,0.0,1407.961209208006,True
7,0.07985569229296276,0.08125331013997396,0.08101492014238912,0.05522474674507975,0.16982391476631165,0,55,0.0,1403.0524886250496,False
8,0.07969213415895189,0.08012182006835937,0.07984425895444809,0.0716491700573401,0.15317480266094208,0,55,0.0,1352.6448091659695,False
9,0.07957217196055821,0.07831646728515625,0.0779480964906754,0.06630145988681099,0.18298277258872986,0,55,0.0,1016.1830388340168,True
10,0.07926237154006958,0.07794929606119792,0.07756865175308719,0.06891271075741812,0.18543727695941925,0,55,0.0,1017.88507700013,True
11,0.07827898636886052,0.07732479044596355,0.07690629429971019,0.05907113687558608,0.15257522463798523,0,55,0.0,1012.884538958082,True
12,0.0781102425626346,0.07759096171061199,0.07700036030430947,0.06962985288013111,0.17642854154109955,0,55,0.0,1015.2106647500768,False
13,0.07748428524391991,0.07702942097981771,0.0764734841623614,0.06093429914590987,0.1930207908153534,0,55,0.0,1014.6790894169826,True
14,0.07730299518789564,0.07676732482910156,0.07604408116494456,0.06582591764798218,0.19484293460845947,0,55,0.0,1016.6602341248654,True
15,0.07690008554288319,0.0767760264078776,0.07592156588646673,0.06134816868738695,0.1537807285785675,0,55,0.0,1023.0172528340481,False
