epoch,train_loss,val_mse,val_loss_mask_mse,grad_norm_mean,grad_norm_max,clipped_batches,n_batches,clip_fraction,epoch_seconds,is_best
1,0.10016134218658719,0.0868648696899414,0.08666652654832409,0.145762723819776,0.6362175345420837,0,55,0.0,1240.3097034160746,True
2,0.08434626497541155,0.08540889027913412,0.08511926466418851,0.05198263584382155,0.1807473748922348,0,55,0.0,1306.9410286669154,True
3,0.08356237247160503,0.08730509999593099,0.0868263185562626,0.05307049482891506,0.17113086581230164,0,55,0.0,1332.763283291948,False
4,0.08337476093428475,0.08476970876057943,0.08437562807144658,0.0630951276557012,0.16198360919952393,0,55,0.0,1337.009952708031,True
5,0.0827013303382056,0.08384070129394532,0.08349520480248236,0.0646341021003371,0.17093594372272491,0,55,0.0,1340.8209072919562,True
6,0.0824557037608964,0.08558760833740234,0.08499995422363281,0.05079474354755472,0.15706805884838104,0,55,0.0,1339.9501440830063,False
7,0.08224402225017548,0.0843438471476237,0.08380706836331275,0.054183511427518996,0.17018486559391022,0,55,0.0,1338.2631343340036,False
8,0.08167912186895097,0.08478764444986979,0.08416642022901966,0.05079867021096024,0.15065930783748627,0,55,0.0,1319.978885166929,False
9,0.08171866183621543,0.08348927714029948,0.08299741634245841,0.056939425429498605,0.15307462215423584,0,55,0.0,1305.45641183306,True
10,0.08162993403843471,0.08371028747558594,0.08308692882907007,0.055299292851916766,0.2035309374332428,0,55,0.0,1317.858609625022,False
11,0.08145193770102092,0.08431381378173829,0.08360069816343246,0.05847569506784732,0.13963723182678223,0,55,0.0,1311.7167458339827,False
12,0.081164235327925,0.08532841186523438,0.08451107394310736,0.04835322001440959,0.13911336660385132,0,55,0.0,1306.6080644160975,False
13,0.08104397410154343,0.08304837646484375,0.08238434723884829,0.05693100514737043,0.15102998912334442,0,55,0.0,1311.7564897499979,True
14,0.08113655808993749,0.08371276143391927,0.08296609497070312,0.06436451844532382,0.15991975367069244,0,55,0.0,1320.4727691670414,False
15,0.08103817162343434,0.08396222534179687,0.08326712036132812,0.0654469044286419,0.1975177824497223,0,55,0.0,1326.5257524999324,False
16,0.08096397201504026,0.08418598175048828,0.08340738308814265,0.058925916576250036,0.1785571128129959,0,55,0.0,1327.2817154580262,False
17,0.08095025782074247,0.08451243794759114,0.08367478401430191,0.060915987015786495,0.1977066695690155,0,55,0.0,1326.8483616249869,False
18,0.08073192828042167,0.08430245157877604,0.08347918799615675,0.06306766025214032,0.201503187417984,0,55,0.0,1320.6756992919836,False
19,0.08083221480676106,0.0835649159749349,0.08274930351011214,0.06335389472713525,0.17150919139385223,0,55,0.0,1323.653065084014,False
20,0.08072156103168215,0.08456541544596353,0.0837136486422631,0.0677579859440977,0.1788196563720703,0,55,0.0,1326.0577742919559,False
21,0.08077936727660043,0.08295444030761719,0.0821992930750693,0.06067918898029761,0.1845637559890747,0,55,0.0,1326.1450552500319,True
22,0.0804416617325374,0.08358518981933594,0.08277354185042843,0.05893377218056809,0.1873656064271927,0,55,0.0,1322.407914667041,False
23,0.08028419131040573,0.08280550689697265,0.08201588882938508,0.06171667326919057,0.16364368796348572,0,55,0.0,1326.3791952498723,True
24,0.08034607281003679,0.087533251953125,0.08652286898705266,0.0636840992691842,0.15800584852695465,0,55,0.0,1331.849618166918,False
25,0.0813622294494084,0.08504643758138021,0.08414717052828881,0.08468159202655608,0.23358015716075897,0,55,0.0,1331.1762777089607,False
26,0.0804732277904238,0.08278712921142578,0.08200813441122731,0.066998621144078,0.20628084242343903,0,55,0.0,1326.7044485411607,True
27,0.08064536665167127,0.08298374328613281,0.0821589852609942,0.0705284397541122,0.2130209356546402,0,55,0.0,1325.3941244578455,False
28,0.08002922807421003,0.08274916788736979,0.08189282817225302,0.05392091233621944,0.16747963428497314,0,55,0.0,1326.641591334017,True
29,0.08024994536808559,0.0831701410929362,0.08226500283518146,0.057195251570506526,0.19453121721744537,0,55,0.0,1325.7738134579267,False
30,0.07993307891062328,0.08259246775309245,0.08170616986674648,0.053842504136264326,0.15453223884105682,0,55,0.0,1327.215920208022,True
31,0.08057664613212857,0.08260924733479817,0.08176455737698463,0.07503681707788598,0.18115775287151337,0,55,0.0,1328.01569320797,False
32,0.0799968558038984,0.0827073969523112,0.0818184085969002,0.05393897232345559,0.20249339938163757,0,55,0.0,1324.704640416894,False
33,0.08084183024508612,0.08464473164876302,0.08369241529895413,0.08481536250222813,0.23879745602607727,0,55,0.0,1322.4972723750398,False
