run_seed,model,split,event,near_best_distractor,other_distractor,selectivity_vs_near_best_distractor,selectivity_vs_other_distractor
83453494,qlstm,extrapolation,0.13022656295952553,0.11193731767404724,0.1215618323336519,0.01828924528547829,0.008664730625873626
83453494,qlstm,test,0.13397973854677156,0.11130122937148683,0.1228850538668281,0.02267850917528473,0.011094684679943456
83453494,qslstm,extrapolation,0.15433341800932784,0.054832539055269684,0.06607776839089638,0.09950087895405815,0.08825564961843146
83453494,qslstm,test,0.17933356139319545,0.0851708064460469,0.0957129384266332,0.09416275494714856,0.08362062296656225
88159254,qlstm,extrapolation,0.11910698874333239,0.11077677459206761,0.11954712787635079,0.008330214151264781,-0.000440139133018394
88159254,qlstm,test,0.11992970200980567,0.11150553687915253,0.11863583911567195,0.008424165130653138,0.0012938628941337182
88159254,qslstm,extrapolation,0.1669640985414437,0.07198259518083297,0.07017241217749759,0.09498150336061073,0.09679168636394611
88159254,qslstm,test,0.19612194621284224,0.11102593447861434,0.10064573521476915,0.0850960117342279,0.09547621099807309
266064982,qlstm,extrapolation,0.12729722791199824,0.0945743606650244,0.11486006842134124,0.03272286724697383,0.012437159490657004
266064982,qlstm,test,0.13182796386514614,0.10457578498563966,0.1188593761735014,0.027252178879506483,0.012968587691644745
266064982,qslstm,extrapolation,0.15483624781494282,0.07374685348459326,0.06342417165002423,0.08108939433034956,0.09141207616491859
266064982,qslstm,test,0.16821500350987253,0.09539997264545533,0.08999197057643489,0.07281503086441721,0.07822303293343764
435874469,qlstm,extrapolation,0.13566425124060189,0.10990179526112108,0.12138208539753319,0.025762455979480806,0.014282165843068698
435874469,qlstm,test,0.1374165510869997,0.11454307335175216,0.12436651481046046,0.022873477735247547,0.01305003627653925
435874469,qslstm,extrapolation,0.16098240112616471,0.06843085487647008,0.0756622362384298,0.09255154624969464,0.08532016488773492
435874469,qslstm,test,0.18760307709429863,0.10780704627884181,0.09847411733112899,0.07979603081545682,0.08912895976316965
484324222,qlstm,extrapolation,0.12288577134307263,0.10132615034247959,0.11054114168263318,0.02155962100059304,0.012344629660439449
484324222,qlstm,test,0.12783868465863676,0.10409629434405863,0.11407843011750958,0.02374239031457813,0.013760254541127184
484324222,qslstm,extrapolation,0.14341366860973975,0.06520854321503189,0.06775326350902963,0.07820512539470786,0.07566040510071012
