run_seed,model,split,kind,n_steps,pull,write_k
83453494,qlstm,extrapolation,event,691,0.03899752770249992,0.13022656295952553
83453494,qlstm,extrapolation,near_best_distractor,2271,0.025555597087561114,0.11193731767404724
83453494,qlstm,extrapolation,other_distractor,12288,0.03041494880017126,0.1215618323336519
83453494,qlstm,test,event,2111,0.0388029578284368,0.13397973854677156
83453494,qlstm,test,near_best_distractor,4334,0.026582528560679795,0.11130122937148683
83453494,qlstm,test,other_distractor,22555,0.03057920813058385,0.1228850538668281
83453494,qslstm,extrapolation,event,691,0.04562157321338543,0.15433341800932784
83453494,qslstm,extrapolation,near_best_distractor,2271,0.01262868389664427,0.054832539055269684
83453494,qslstm,extrapolation,other_distractor,12288,0.016364800752247294,0.06607776839089638
83453494,qslstm,test,event,2111,0.05205996755964098,0.17933356139319545
83453494,qslstm,test,near_best_distractor,4334,0.020317702027691856,0.0851708064460469
83453494,qslstm,test,other_distractor,22555,0.02368356667820722,0.0957129384266332
88159254,qlstm,extrapolation,event,700,0.03507662726300103,0.11910698874333239
88159254,qlstm,extrapolation,near_best_distractor,2293,0.024353313006743354,0.11077677459206761
88159254,qlstm,extrapolation,other_distractor,12257,0.030364588395392047,0.11954712787635079
88159254,qlstm,test,event,2115,0.03531684097668803,0.11992970200980567
88159254,qlstm,test,near_best_distractor,4339,0.026171196122465115,0.11150553687915253
88159254,qlstm,test,other_distractor,22546,0.030156159056202708,0.11863583911567195
88159254,qslstm,extrapolation,event,700,0.04939034364053181,0.1669640985414437
88159254,qslstm,extrapolation,near_best_distractor,2293,0.015294067733837848,0.07198259518083297
88159254,qslstm,extrapolation,other_distractor,12257,0.017580933335788917,0.07017241217749759
88159254,qslstm,test,event,2115,0.05935651851602198,0.19612194621284224
88159254,qslstm,test,near_best_distractor,4339,0.024990384755636804,0.11102593447861434
88159254,qslstm,test,other_distractor,22546,0.025466660249627685,0.10064573521476915
266064982,qlstm,extrapolation,event,664,0.036749257829534004,0.12729722791199824
266064982,qlstm,extrapolation,near_best_distractor,2329,0.02076089469185711,0.0945743606650244
